,VaR_pred,loss_real,viol,year
2010-01-04,0.021193798631429672,-0.001400684122927487,0,2010
2010-01-05,0.020072005689144135,-0.00640800641849637,0,2010
2010-01-06,0.019705401733517647,0.0021468966733664274,0,2010
2010-01-07,0.02147817052900791,-0.0032343596685677767,0,2010
2010-01-08,0.02149505913257599,-0.003497055498883128,0,2010
2010-01-11,0.0223171878606081,0.008993388153612614,0,2010
2010-01-12,0.021392961964011192,0.00016848645464051515,0,2010
2010-01-13,0.020597783848643303,-0.0015270801959559321,0,2010
2010-01-14,0.02025511860847473,0.008526680059731007,0,2010
2010-01-15,0.019406378269195557,-0.004884980618953705,0,2010
2010-01-19,0.0201535876840353,0.012289252132177353,0,2010
2010-01-20,0.021360287442803383,0.009025524370372295,0,2010
2010-01-21,0.01969298906624317,0.010230769403278828,0,2010
2010-01-22,0.019404888153076172,-0.00362420198507607,0,2010
2010-01-25,0.01844199188053608,0.0023791873827576637,0,2010
2010-01-26,0.019459260627627373,0.005499556660652161,0,2010
2010-01-27,0.018869075924158096,0.003571793669834733,0,2010
2010-01-28,0.019060084596276283,0.004813417326658964,0,2010
2010-01-29,0.019153552129864693,-0.011087266728281975,0,2010
2010-02-01,0.019438443705439568,-0.013360830023884773,0,2010
2010-02-02,0.019265392795205116,0.004857221618294716,0,2010
2010-02-03,0.019906386733055115,0.026196617633104324,1,2010
2010-02-04,0.018771402537822723,0.007062164135277271,0,2010
2010-02-05,0.01860165037214756,-0.0021781274117529392,0,2010
2010-02-08,0.017627080902457237,-0.010528508573770523,0,2010
2010-02-09,0.0190444216132164,-0.0004899353953078389,0,2010
2010-02-10,0.018802842125296593,-0.006060844752937555,0,2010
2010-02-11,0.018852312117815018,0.004708557389676571,0,2010
2010-02-12,0.019688695669174194,-0.018960464745759964,0,2010
2010-02-16,0.020041055977344513,0.0016952933510765433,0,2010
2010-02-17,0.021502576768398285,-0.0026067718863487244,0,2010
2010-02-18,0.020747823640704155,-0.005295273382216692,0,2010
2010-02-19,0.020166978240013123,0.0011870861053466797,0,2010
2010-02-22,0.019177312031388283,0.00713774049654603,0,2010
2010-02-23,0.02047998644411564,-0.004026487469673157,0,2010
2010-02-24,0.022179972380399704,0.0023696287535130978,0,2010
2010-02-25,0.02193310856819153,-0.007651959545910358,0,2010
2010-02-26,0.02135094627737999,0.0012994251446798444,0,2010
2010-03-01,0.021291518583893776,-0.007301367819309235,0,2010
2010-03-02,0.02093808725476265,-0.005055135581642389,0,2010
2010-03-03,0.021081658080220222,0.004039671737700701,0,2010
2010-03-04,0.021874386817216873,-0.006071452051401138,0,2010
2010-03-05,0.020241951569914818,0.001822567661292851,0,2010
2010-03-08,0.02000569738447666,0.0005097715184092522,0,2010
2010-03-09,0.02098667621612549,-2.4294842660310678e-05,0,2010
2010-03-10,0.020600879564881325,-0.0013284619199112058,0,2010
2010-03-11,0.021816320717334747,0.0018070681253448129,0,2010
2010-03-12,0.021929683163762093,0.004181494005024433,0,2010
2010-03-15,0.021413134410977364,-0.011433129198849201,0,2010
2010-03-16,0.021296847611665726,-0.004270377103239298,0,2010
2010-03-17,0.02084096521139145,0.0035789143294095993,0,2010
2010-03-18,0.019969070330262184,0.009733463637530804,0,2010
2010-03-19,0.020109592005610466,-0.002064720494672656,0,2010
2010-03-22,0.02063591405749321,-0.0019242631969973445,0,2010
2010-03-23,0.0189831480383873,0.011067261919379234,0,2010
2010-03-24,0.020336037501692772,0.0008865906274877489,0,2010
2010-03-25,0.01866275630891323,-0.0029329059179872274,0,2010
2010-03-26,0.020434288308024406,-0.008353536017239094,0,2010
2010-03-29,0.018892508000135422,0.001198567682877183,0,2010
2010-03-30,0.01990911178290844,-0.00599525636062026,0,2010
2010-03-31,0.02228405326604843,-0.00692554609850049,0,2010
2010-04-01,0.022399861365556717,-0.0038362108170986176,0,2010
2010-04-05,0.019053859636187553,-0.000523836410138756,0,2010
2010-04-06,0.020870240405201912,-4.485024692257866e-05,0,2010
2010-04-07,0.020799091085791588,0.0005231280229054391,0,2010
2010-04-08,0.021564442664384842,-0.0040739127434790134,0,2010
2010-04-09,0.0222287829965353,-0.0010101428488269448,0,2010
2010-04-12,0.02271384932100773,0.0015072822570800781,0,2010
2010-04-13,0.02269694209098816,-0.007663085125386715,0,2010
2010-04-14,0.022023949772119522,0.0013488532276824117,0,2010
2010-04-15,0.021618055179715157,0.01253932062536478,0,2010
2010-04-16,0.019780447706580162,0.004377373959869146,0,2010
2010-04-19,0.019788237288594246,-0.006368773058056831,0,2010
2010-04-20,0.019384833052754402,-0.0019977756310254335,0,2010
2010-04-21,0.01894558221101761,0.002796950051560998,0,2010
2010-04-22,0.01813376694917679,-0.007820130325853825,0,2010
2010-04-23,0.020250845700502396,0.0025741723366081715,0,2010
2010-04-26,0.02007446065545082,0.009144658222794533,0,2010
2010-04-27,0.018754884600639343,-0.004436791408807039,0,2010
2010-04-28,0.018951522186398506,-0.00779870105907321,0,2010
2010-04-29,0.020767543464899063,-0.0026681777089834213,0,2010
2010-04-30,0.018979663029313087,-0.001134005025960505,0,2010
2010-05-03,0.01851629465818405,0.017654238268733025,0,2010
2010-05-04,0.019729357212781906,0.008650792762637138,0,2010
2010-05-05,0.0205187126994133,0.010778427124023438,0,2010
2010-05-06,0.018817057833075523,0.004767597187310457,0,2010
2010-05-07,0.019713878631591797,-0.01029779203236103,0,2010
2010-05-10,0.02039823681116104,0.0006901536835357547,0,2010
2010-05-11,0.018928376957774162,-0.004177893046289682,0,2010
2010-05-12,0.018648888915777206,0.009033783338963985,0,2010
2010-05-13,0.01989450678229332,0.013288742862641811,0,2010
2010-05-14,0.021282488480210304,0.003952227998524904,0,2010
2010-05-17,0.018316948786377907,0.009004599414765835,0,2010
2010-05-18,0.018217036500573158,-0.0003506269713398069,0,2010
2010-05-19,0.01711413450539112,0.010841934010386467,0,2010
2010-05-20,0.02000945806503296,-0.008331707678735256,0,2010
2010-05-21,0.019472070038318634,0.0025436945725232363,0,2010
2010-05-24,0.01875661127269268,0.0028433839324861765,0,2010
2010-05-25,0.020722821354866028,-0.006080307997763157,0,2010
2010-05-26,0.01963484100997448,-0.015507836826145649,0,2010
2010-05-27,0.0190634336322546,0.004300123080611229,0,2010
2010-05-28,0.019267180934548378,0.005599457770586014,0,2010
2010-06-01,0.019628552719950676,-0.004140255972743034,0,2010
2010-06-02,0.021907685324549675,-0.0021086828783154488,0,2010
2010-06-03,0.019515564665198326,0.014720894396305084,0,2010
2010-06-04,0.019345244392752647,-0.0008474651258438826,0,2010
2010-06-07,0.0185240488499403,-0.004678046330809593,0,2010
2010-06-08,0.02082165889441967,-0.0031869469676166773,0,2010
2010-06-09,0.019565211609005928,-0.007571094203740358,0,2010
2010-06-10,0.018386853858828545,0.0010096592595800757,0,2010
2010-06-11,0.020717551931738853,-0.003864105325192213,0,2010
2010-06-14,0.02423720248043537,-0.012068307027220726,0,2010
2010-06-15,0.021508075296878815,-0.0015865128953009844,0,2010
2010-06-16,0.020660940557718277,-0.0029936751816421747,0,2010
2010-06-17,0.021519245579838753,-0.0025955510791391134,0,2010
2010-06-18,0.02149714156985283,0.003319796174764633,0,2010
2010-06-21,0.02032518945634365,0.00425362354144454,0,2010
2010-06-22,0.021610526368021965,0.002317217644304037,0,2010
2010-06-23,0.021887972950935364,0.0010027297539636493,0,2010
2010-06-24,0.02074265107512474,-0.009162426926195621,0,2010
2010-06-25,0.020986076444387436,0.004927272442728281,0,2010
2010-06-28,0.021140705794095993,0.012304095551371574,0,2010
2010-06-29,0.021090762689709663,0.001279769348911941,0,2010
2010-06-30,0.02034548483788967,0.009861853905022144,0,2010
2010-07-01,0.019253909587860107,0.002329035894945264,0,2010
2010-07-02,0.01760055683553219,0.0001493184972787276,0,2010
2010-07-06,0.019086629152297974,-0.012043975293636322,0,2010
2010-07-07,0.01861821487545967,-0.005549698136746883,0,2010
2010-07-08,0.01973063126206398,-0.004128261003643274,0,2010
2010-07-09,0.019090164452791214,0.005234084092080593,0,2010
2010-07-12,0.02047267183661461,-0.012367147952318192,0,2010
2010-07-13,0.020988021045923233,8.885324496077374e-05,0,2010
2010-07-14,0.020809130743145943,-0.003323216224089265,0,2010
2010-07-15,0.02044093981385231,0.009600119665265083,0,2010
2010-07-16,0.020946718752384186,-0.0011133423540741205,0,2010
2010-07-19,0.020291760563850403,-0.005750924814492464,0,2010
2010-07-20,0.020051898434758186,0.005528995767235756,0,2010
2010-07-21,0.0209677591919899,-0.013140441849827766,0,2010
2010-07-22,0.02082371525466442,0.0009739455417729914,0,2010
2010-07-23,0.020340299233794212,-0.0026981469709426165,0,2010
2010-07-26,0.02062411420047283,0.009082476608455181,0,2010
