Model,year,T,Expected Viol.,Violations,Violation Rate,VR Gap,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Max Loss,Mean Loss,n_negative_var,p_UC,UC Test,p_CC,CC Test,p_DQ,DQ Test
Softplus + dynamic features + ReLU LayerNorm,2010,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.0002909549096499641,0.02424197494904532,0.02414975901474319,0.05721890926361084,0.00995342805981636,0.026196617633104324,-0.00038104320229750656,0,0.7679687153509303,PASS,0.9232885919371185,PASS,0.9985400783055429,PASS
Softplus + dynamic features + ReLU LayerNorm,2011,252,2.5200000000000022,0,0.0,0.010000000000000009,0.00027119700051138205,0.026842500999688157,0.026842500999688157,0.055064912885427475,0.009807613678276539,0.026701759546995163,-0.00027719905145002284,0,,FAIL,,FAIL,,FAIL
Softplus + dynamic features + ReLU LayerNorm,2012,249,2.490000000000002,3,0.012048192771084338,0.002048192771084329,0.00026619549487899753,0.023691897995544504,0.0236339550801968,0.0549141988158226,0.0095779187977314,0.019406957551836967,-0.00011742009799154878,0,0.7529927774989805,PASS,0.9173627738766614,PASS,0.9983489511867577,PASS
Softplus + dynamic features + ReLU LayerNorm,2013,251,2.5100000000000025,2,0.00796812749003984,0.0020318725099601684,0.00030801120425677053,0.024450515857925622,0.024318215641308115,0.06343657523393631,0.010587179102003574,0.02981555461883545,6.595593819758825e-05,0,0.7373114985717543,PASS,0.9301763702882031,PASS,0.9993244432692044,PASS
Softplus + dynamic features + ReLU LayerNorm,2014,252,2.5200000000000022,0,0.0,0.010000000000000009,0.0002147522079847312,0.021913279306202654,0.021913279306202654,0.05564447492361069,0.007938995957374573,0.02523237094283104,0.0004380585077295484,0,,FAIL,,FAIL,,FAIL
Softplus + dynamic features + ReLU LayerNorm,2015,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.0003255972526567495,0.02990971307700426,0.02984567710922824,0.07518166303634644,0.008269475772976875,0.019678598269820213,0.00045573224846636535,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468666,PASS
Softplus + dynamic features + ReLU LayerNorm,2016,250,2.500000000000002,0,0.0,0.010000000000000009,0.0002960794817295393,0.02919776998832822,0.02919776998832822,0.07506552338600159,0.008093011565506458,0.016854876652359962,-0.00041017818462569264,0,,FAIL,,FAIL,,FAIL
Softplus + dynamic features + ReLU LayerNorm,2017,249,2.490000000000002,1,0.004016064257028112,0.005983935742971897,0.00023581851667049396,0.022725234455034403,0.022717591270385497,0.046002671122550964,0.009760744869709015,0.014268964529037476,-0.0004859227565430777,0,0.2805502140396249,PASS,0.5564044056020698,PASS,0.8311757302695197,PASS
Softplus + dynamic features + ReLU LayerNorm,2018,250,2.500000000000002,3,0.012,0.0019999999999999914,0.00029609701124692965,0.023578049395609684,0.023447279002517463,0.061118654906749725,0.009053795598447323,0.018188942223787308,0.0003107123358895478,0,0.7579883213732929,PASS,0.9193794622445018,PASS,2.269410308453068e-06,FAIL
Softplus + dynamic features + ReLU LayerNorm,2019,251,2.5100000000000025,0,0.0,0.010000000000000009,0.0002991980528715064,0.029308803654108866,0.029308803654108866,0.07503112405538559,0.010047545656561852,0.018301527947187424,-0.0006110016330417437,0,,FAIL,,FAIL,,FAIL
Softplus + dynamic features + ReLU LayerNorm,2020,251,2.5100000000000025,6,0.02390438247011952,0.013904382470119513,0.0009438648412568337,0.03267797060156276,0.031421246760305895,0.07822532206773758,0.009741080924868584,0.07843015342950821,-0.0007574072231624862,0,0.06037810014571887,PASS,0.05086022960740699,PASS,0.022357870120431778,FAIL
Softplus + dynamic features + ReLU LayerNorm,2021,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.0002891898405667034,0.025559991657260864,0.025499448298461853,0.06348308175802231,0.010369391180574894,0.03052397072315216,-0.00042263949765742475,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468669,PASS
Softplus + dynamic features + ReLU LayerNorm,2022,251,2.5100000000000025,1,0.00398406374501992,0.006015936254980089,0.0002989240199161603,0.029048871786600733,0.02902484815419314,0.06495743244886398,0.011588063091039658,0.02679738961160183,0.00032161596675314827,0,0.27561379392121055,PASS,0.5497388300990125,PASS,0.8228039726887615,PASS
Softplus + dynamic features + ReLU LayerNorm,2023,250,2.500000000000002,0,0.0,0.010000000000000009,0.00025499251802437383,0.02526000565290451,0.02526000565290451,0.050870005041360855,0.008546561934053898,0.01853187195956707,-0.00023924614953284618,0,,FAIL,,FAIL,,FAIL
Softplus + dynamic features + ReLU LayerNorm,2024,250,2.500000000000002,0,0.0,0.010000000000000009,0.0002373317057102033,0.023410313930362463,0.023410313930362463,0.05300763621926308,0.009743946604430676,0.014374827034771442,-0.0003228566406578466,0,,FAIL,,FAIL,,FAIL
