,VaR_pred,loss_real,viol,year,exceedance,exceedance_ratio
2010-02-03,0.014432897791266441,0.026196617633104324,1,2010,0.011763719841837883,1.815062921664718
2010-05-03,0.014172983355820179,0.017654238268733025,1,2010,0.0034812549129128456,1.245626120169206
2010-10-18,0.013085086829960346,0.01709473505616188,1,2010,0.004009648226201534,1.3064288589221142
2011-05-10,0.013685312122106552,0.014313003048300743,1,2011,0.000627690926194191,1.0458660292577655
2011-08-05,0.012419470585882664,0.013371645472943783,1,2011,0.0009521748870611191,1.0766679127324046
2011-09-27,0.013685591518878937,0.015219097025692463,1,2011,0.0015335055068135262,1.112052555762613
2012-06-20,0.01279945857822895,0.019406957551836967,1,2012,0.006607498973608017,1.5162326932208636
2012-07-05,0.009765702299773693,0.013480061665177345,1,2012,0.003714359365403652,1.3803473883787885
2012-11-01,0.010635909624397755,0.01188693568110466,1,2012,0.0012510260567069054,1.1176228551093714
2012-11-06,0.009269144386053085,0.013013158924877644,1,2012,0.0037440145388245583,1.4039223452445113
2013-04-12,0.013564028777182102,0.02981555461883545,1,2013,0.016251525841653347,2.1981341317258374
2013-06-19,0.01848084293305874,0.026507526636123657,1,2013,0.008026683703064919,1.4343245452677214
2014-11-26,0.02405153587460518,0.02523237094283104,1,2014,0.0011808350682258606,1.049096035878218
2015-08-31,0.014669430442154408,0.019678598269820213,1,2015,0.005009167827665806,1.3414698237548028
2015-12-04,0.012486052699387074,0.014805969782173634,1,2015,0.00231991708278656,1.1858006800580332
2016-01-22,0.013437974266707897,0.013853033073246479,1,2016,0.00041505880653858185,1.0308870070965142
2016-09-08,0.012310164049267769,0.013827618211507797,1,2016,0.0015174541622400284,1.1232683948131699
2016-09-22,0.00922863557934761,0.009343475103378296,1,2016,0.00011483952403068542,1.0124438247716359
2016-11-10,0.015463466756045818,0.016854876652359962,1,2016,0.0013914098963141441,1.0899804628719585
2017-06-06,0.008894115686416626,0.010987741872668266,1,2017,0.0020936261862516403,1.2353945305039256
2018-11-12,0.011303327046334743,0.01678679883480072,1,2018,0.005483471788465977,1.4851201567457137
2018-11-19,0.008618435822427273,0.015748405829072,1,2018,0.007129970006644726,1.827292812007813
2018-11-21,0.012277095578610897,0.017480768263339996,1,2018,0.005203672684729099,1.423852095262247
2018-12-21,0.01625787653028965,0.018188942223787308,1,2018,0.0019310656934976578,1.1187772394445201
2019-07-31,0.016068346798419952,0.018301527947187424,1,2019,0.0022331811487674713,1.1389801438058995
2019-09-16,0.01162438839673996,0.011751572601497173,1,2019,0.0001271842047572136,1.010941152378639
2020-01-07,0.01208298746496439,0.012212520465254784,1,2020,0.00012953300029039383,1.0107202792906957
2020-02-24,0.013748792000114918,0.01452048309147358,1,2020,0.0007716910913586617,1.0561279195548388
2020-03-05,0.009735280647873878,0.020593872293829918,1,2020,0.01085859164595604,2.115385579390306
2020-03-06,0.020444629713892937,0.06714586168527603,1,2020,0.046701231971383095,3.284278689559623
2020-03-13,0.027875704690814018,0.04488958418369293,1,2020,0.017013879492878914,1.6103479600458517
2020-03-17,0.02417878434062004,0.07843015342950821,1,2020,0.05425136908888817,3.243759170213805
2020-04-24,0.020584210753440857,0.05499166622757912,1,2020,0.03440745547413826,2.6715460158406468
2020-10-27,0.01742003858089447,0.022409971803426743,1,2020,0.004989933222532272,1.28644788582759
2021-02-25,0.010501733049750328,0.01112786028534174,1,2021,0.0006261272355914116,1.059621324654248
2021-11-24,0.01908348873257637,0.03052397072315216,1,2021,0.01144048199057579,1.599496357867017
2021-11-29,0.01348312571644783,0.014688014052808285,1,2021,0.0012048883363604546,1.0893626864941734
2022-03-08,0.021539611741900444,0.02679738961160183,1,2022,0.0052577778697013855,1.2440980799794812
2022-04-18,0.010835185647010803,0.01224435493350029,1,2022,0.0014091692864894867,1.1300549277508916
2022-05-06,0.01857631839811802,0.020313072949647903,1,2022,0.0017367545515298843,1.0934929362378842
2022-07-11,0.013830714859068394,0.02102663367986679,1,2022,0.007195918820798397,1.5202853861223409
2023-06-21,0.008856553584337234,0.009722841903567314,1,2023,0.0008662883192300797,1.0978132533135807
