Model,year,T,Expected Viol.,Violations,Violation Rate,VR Gap,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Max Loss,Mean Loss,n_negative_var,p_UC,UC Test,p_CC,CC Test,p_DQ,DQ Test
Softplus + dynamic features + SiLU LayerNorm,2010,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.0002787205554652305,0.020004646987674426,0.019850288939085744,0.044727396219968796,0.008342025801539421,0.026196617633104324,-0.00038104320229750656,0,0.7679687153509303,PASS,0.9232885919371185,PASS,0.9985400783055429,PASS
Softplus + dynamic features + SiLU LayerNorm,2011,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.0002389286411264242,0.02240515913668269,0.022380200251641256,0.04749315232038498,0.00846079085022211,0.026701759546995163,-0.00027719905145002284,0,0.7679687153509303,PASS,0.9232885919371185,PASS,0.9985400783055429,PASS
Softplus + dynamic features + SiLU LayerNorm,2012,249,2.490000000000002,4,0.01606425702811245,0.0060642570281124394,0.0002574856223859334,0.019604047107334627,0.019479777106648707,0.04233742505311966,0.00872479472309351,0.019406957551836967,-0.00011742009799154878,0,0.37672501519974744,PASS,0.6336506230413519,PASS,0.008719130997437818,FAIL
Softplus + dynamic features + SiLU LayerNorm,2013,251,2.5100000000000025,2,0.00796812749003984,0.0020318725099601684,0.00030134129768395697,0.020722898190646263,0.020527492262482405,0.05060995742678642,0.008491930551826954,0.02981555461883545,6.595593819758825e-05,0,0.7373114985717543,PASS,0.9301763702882031,PASS,0.9993244432692044,PASS
Softplus + dynamic features + SiLU LayerNorm,2014,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.00018125798143892618,0.01810473767768473,0.01809527130708808,0.05149691551923752,0.006577305495738983,0.02523237094283104,0.0004380585077295484,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468667,PASS
Softplus + dynamic features + SiLU LayerNorm,2015,252,2.5200000000000022,2,0.007936507936507936,0.002063492063492073,0.00029892810400536905,0.02749893051049964,0.027440175621045962,0.05976201593875885,0.009787013754248619,0.019678598269820213,0.00045573224846636535,0,0.7327118118255211,PASS,0.9283165087166464,PASS,0.9992822801223935,PASS
Softplus + dynamic features + SiLU LayerNorm,2016,250,2.500000000000002,4,0.016,0.0059999999999999915,0.00027728091828641504,0.025970196667268422,0.025942408688366413,0.06503840535879135,0.009184944443404675,0.016854876652359962,-0.00041017818462569264,0,0.3804837382389562,PASS,0.6377058154833053,PASS,0.971185610248074,PASS
Softplus + dynamic features + SiLU LayerNorm,2017,249,2.490000000000002,1,0.004016064257028112,0.005983935742971897,0.00020374130776108963,0.01906438042609538,0.019047394290147537,0.03948250785470009,0.008481723256409168,0.014268964529037476,-0.0004859227565430777,0,0.2805502140396249,PASS,0.5564044056020698,PASS,0.8311757302695197,PASS
Softplus + dynamic features + SiLU LayerNorm,2018,250,2.500000000000002,4,0.016,0.0059999999999999915,0.0002817514832850795,0.02074616984898845,0.020586588595062495,0.04898978769779205,0.008618435822427273,0.018188942223787308,0.0003107123358895478,0,0.3804837382389562,PASS,0.6377058154833053,PASS,0.0044723901368793895,FAIL
Softplus + dynamic features + SiLU LayerNorm,2019,251,2.5100000000000025,2,0.00796812749003984,0.0020318725099601684,0.00026971621539006795,0.025439232971714573,0.02542023530296714,0.07084870338439941,0.00873490795493126,0.018301527947187424,-0.0006110016330417437,0,0.7373114985717543,PASS,0.9301763702882031,PASS,0.9993244432692044,PASS
Softplus + dynamic features + SiLU LayerNorm,2020,251,2.5100000000000025,8,0.03187250996015936,0.021872509960159353,0.0009550466080177883,0.028728510595879386,0.027367299400359035,0.06790968775749207,0.008527267724275589,0.07843015342950821,-0.0007574072231624862,0,0.005556650359113902,FAIL,0.010694649675272005,FAIL,0.09923955049284183,PASS
Softplus + dynamic features + SiLU LayerNorm,2021,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.000269763853411571,0.02139367183530188,0.02128727855678234,0.05003366619348526,0.007971061393618584,0.03052397072315216,-0.00042263949765742475,0,0.7679687153509303,PASS,0.9232885919371185,PASS,1.9986979457042864e-06,FAIL
Softplus + dynamic features + SiLU LayerNorm,2022,251,2.5100000000000025,4,0.01593625498007968,0.005936254980079672,0.00030438701992464785,0.02467088501919474,0.024545329700843745,0.05133217200636864,0.009210365824401379,0.02679738961160183,0.00032161596675314827,0,0.3842548237900836,PASS,0.6417438220271555,PASS,0.9718308380262235,PASS
Softplus + dynamic features + SiLU LayerNorm,2023,250,2.500000000000002,1,0.004,0.006000000000000009,0.00021474737840690086,0.020895976673115536,0.02088897636346519,0.04347705468535423,0.007332499139010906,0.01853187195956707,-0.00023924614953284618,0,0.2780714900139559,PASS,0.5530660547114741,PASS,0.8270161764816054,PASS
Softplus + dynamic features + SiLU LayerNorm,2024,250,2.500000000000002,0,0.0,0.010000000000000009,0.00020249230481898868,0.019926373841241,0.019926373841241,0.04290534555912018,0.007698384579271078,0.014374827034771442,-0.0003228566406578466,0,,FAIL,,FAIL,,FAIL
