year,T,Expected Viol.,Violations,Violation Rate,VR Gap,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Max Loss,Mean Loss,n_negative_var,p_UC,UC Test,p_CC,CC Test,p_DQ,DQ Test
2010,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.00023251507267956666,0.020424767427432537,0.02037434069262374,0.02423720248043537,0.01711413450539112,0.026196617633104324,-0.00038104320229750656,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468661,PASS
2011,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.00025575771788168396,0.020588457860477857,0.020491342089833723,0.02344615012407303,0.01581209897994995,0.026701759546995163,-0.00027719905145002284,0,0.7679687153509303,PASS,0.9232885919371185,PASS,0.9985400783055429,PASS
2012,249,2.490000000000002,0,0.0,0.010000000000000009,0.0002036435627837729,0.02024693618038572,0.02024693618038572,0.023933399468660355,0.017454048618674278,0.019406957551836967,-0.00011742009799154878,0,,FAIL,,FAIL,,FAIL
2013,251,2.5100000000000025,2,0.00796812749003984,0.0020318725099601684,0.0002646692595130954,0.020169194495177463,0.020037984445809842,0.022785883396863937,0.016439493745565414,0.02981555461883545,6.595593819758825e-05,0,0.7373114985717543,PASS,0.9301763702882031,PASS,0.9993244432692044,PASS
2014,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.0002139198028807989,0.019814305053224988,0.01977274353275933,0.02239467017352581,0.017282046377658844,0.02523237094283104,0.0004380585077295484,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468667,PASS
2015,252,2.5200000000000022,0,0.0,0.010000000000000009,0.0001936633804531259,0.01982207029377894,0.01982207029377894,0.02430155500769615,0.01510955672711134,0.019678598269820213,0.00045573224846636535,0,,FAIL,,FAIL,,FAIL
2016,250,2.500000000000002,0,0.0,0.010000000000000009,0.00020683633737382496,0.020273455552756788,0.020273455552756788,0.02568194456398487,0.014755574986338615,0.016854876652359962,-0.00041017818462569264,0,,FAIL,,FAIL,,FAIL
2017,249,2.490000000000002,0,0.0,0.010000000000000009,0.00020958336096909606,0.020472413340366508,0.020472413340366508,0.023079074919223785,0.01781059242784977,0.014268964529037476,-0.0004859227565430777,0,,FAIL,,FAIL,,FAIL
2018,250,2.500000000000002,0,0.0,0.010000000000000009,0.0001973394845586519,0.020044660791754723,0.020044660791754723,0.022883731871843338,0.014961250126361847,0.018188942223787308,0.0003107123358895478,0,,FAIL,,FAIL,,FAIL
2019,251,2.5100000000000025,0,0.0,0.010000000000000009,0.0002087548683464349,0.020264485201601727,0.020264485201601727,0.024630745872855186,0.01542359683662653,0.018301527947187424,-0.0006110016330417437,0,,FAIL,,FAIL,,FAIL
2020,251,2.5100000000000025,12,0.04780876494023904,0.037808764940239034,0.0011547833694516363,0.022113352979848684,0.020203918407845543,0.030873963609337807,0.008057947270572186,0.07843015342950821,-0.0007574072231624862,0,1.3502838759671398e-05,FAIL,6.685177781196039e-05,FAIL,4.88917009544565e-07,FAIL
2021,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.0002503106717850889,0.020284168975386235,0.020195009002077675,0.022859595715999603,0.016950149089097977,0.03052397072315216,-0.00042263949765742475,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468669,PASS
2022,251,2.5100000000000025,5,0.0199203187250996,0.009920318725099592,0.0002460962283418715,0.020125552984834188,0.020026466679347463,0.025019822642207146,0.015842633321881294,0.02679738961160183,0.00032161596675314827,0,0.16403965089843964,PASS,0.34289152685166036,PASS,0.07067609287647936,PASS
2023,250,2.500000000000002,0,0.0,0.010000000000000009,0.0002060033257024772,0.020361086420714856,0.020361086420714856,0.022895753383636475,0.017482560127973557,0.01853187195956707,-0.00023924614953284618,0,,FAIL,,FAIL,,FAIL
2024,250,2.500000000000002,0,0.0,0.010000000000000009,0.00020666172174951515,0.02034331553429365,0.02034331553429365,0.024232547730207443,0.016664164140820503,0.014374827034771442,-0.0003228566406578466,0,,FAIL,,FAIL,,FAIL
