year,T,Expected Viol.,Violations,Violation Rate,VR Gap,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Max Loss,Mean Loss,n_negative_var,p_UC,UC Test,p_CC,CC Test,p_DQ,DQ Test
2010,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.00022197785173093954,0.018830372768706458,0.018768798145982955,0.021640392020344734,0.016392776742577553,0.026196617633104324,-0.00038104320229750656,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468661,PASS
2011,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.0002695199219025445,0.019062088155966384,0.018905125166629514,0.022658275440335274,0.016007807105779648,0.026701759546995163,-0.00027719905145002284,0,0.7679687153509303,PASS,0.9232885919371185,PASS,0.9985400783055429,PASS
2012,249,2.490000000000002,1,0.004016064257028112,0.005983935742971897,0.0001947552725986057,0.018587819966167776,0.01857193775594713,0.021688099950551987,0.015876274555921555,0.019406957551836967,-0.00011742009799154878,0,0.2805502140396249,PASS,0.5564044056020698,PASS,0.8311757302695197,PASS
2013,251,2.5100000000000025,2,0.00796812749003984,0.0020318725099601684,0.0002696550576633964,0.018319581541260836,0.018139955146141737,0.02150372974574566,0.015938155353069305,0.02981555461883545,6.595593819758825e-05,0,0.7373114985717543,PASS,0.9301763702882031,PASS,0.9993244432692044,PASS
2014,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.00020282986120190495,0.018180946142606694,0.018128572977961055,0.021280677989125252,0.015688523650169373,0.02523237094283104,0.0004380585077295484,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468667,PASS
2015,252,2.5200000000000022,2,0.007936507936507936,0.002063492063492073,0.00019091606334227233,0.018920283378752185,0.01890735440547504,0.024050945416092873,0.014971543103456497,0.019678598269820213,0.00045573224846636535,0,0.7327118118255211,PASS,0.9283165087166464,PASS,0.9992822801223935,PASS
2016,250,2.500000000000002,0,0.0,0.010000000000000009,0.00019454610817250815,0.0190444326326251,0.0190444326326251,0.02562425285577774,0.015179621987044811,0.016854876652359962,-0.00041017818462569264,0,,FAIL,,FAIL,,FAIL
2017,249,2.490000000000002,0,0.0,0.010000000000000009,0.00018972561201516374,0.018486638444973284,0.018486638444973284,0.021838080137968063,0.016525719314813614,0.014268964529037476,-0.0004859227565430777,0,,FAIL,,FAIL,,FAIL
2018,250,2.500000000000002,2,0.008,0.0020000000000000087,0.00018452515544111536,0.018436080630078462,0.018429335325956343,0.022278383374214172,0.015677224844694138,0.018188942223787308,0.0003107123358895478,0,0.7419327009526262,PASS,0.9320096436669167,PASS,0.0,FAIL
2019,251,2.5100000000000025,0,0.0,0.010000000000000009,0.00019305052718044633,0.01869405108500287,0.01869405108500287,0.02213984541594982,0.01500282995402813,0.018301527947187424,-0.0006110016330417437,0,,FAIL,,FAIL,,FAIL
2020,251,2.5100000000000025,12,0.04780876494023904,0.037808764940239034,0.0011340202049838531,0.020926727448202228,0.01903563701877912,0.028376080095767975,0.008985467255115509,0.07843015342950821,-0.0007574072231624862,0,1.3502838759671398e-05,FAIL,2.19996874066819e-05,FAIL,5.0510090554567455e-09,FAIL
2021,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.00024166223843210573,0.018938559949137023,0.018839487281169683,0.02180843986570835,0.016605526208877563,0.03052397072315216,-0.00042263949765742475,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468669,PASS
2022,251,2.5100000000000025,6,0.02390438247011952,0.013904382470119513,0.0002476147805965047,0.019001582455429867,0.018876190464275768,0.023277392610907555,0.015657655894756317,0.02679738961160183,0.00032161596675314827,0,0.06037810014571887,PASS,0.14792647294747674,PASS,0.1628052824010069,PASS
2023,250,2.500000000000002,1,0.004,0.006000000000000009,0.00019082622860543797,0.018771208280114214,0.018769720271229744,0.02141755260527134,0.01646561361849308,0.01853187195956707,-0.00023924614953284618,0,0.2780714900139559,PASS,0.5530660547114741,PASS,0.8270161764816052,PASS
2024,250,2.500000000000002,0,0.0,0.010000000000000009,0.00018984793363353692,0.018661936722695827,0.018661936722695827,0.02130313403904438,0.01600458100438118,0.014374827034771442,-0.0003228566406578466,0,,FAIL,,FAIL,,FAIL
