,VaR_pred,loss_real,viol,year,exceedance,exceedance_ratio
2010-02-03,0.023923268541693687,0.026196617633104324,1,2010,0.002273349091410637,1.0950266928387575
2011-09-21,0.014280201867222786,0.026701759546995163,1,2011,0.012421557679772377,1.8698446839384997
2011-09-27,0.01409099530428648,0.015219097025692463,1,2011,0.001128101721405983,1.0800583420152596
2011-11-16,0.014515685848891735,0.017639564350247383,1,2011,0.003123878501355648,1.2152070893428817
2011-12-13,0.014667103067040443,0.023732837289571762,1,2011,0.009065734222531319,1.6180998511494487
2015-03-05,0.015061208978295326,0.015788894146680832,1,2015,0.0007276851683855057,1.0483151896659937
2015-04-07,0.015774764120578766,0.01657090149819851,1,2015,0.0007961373776197433,1.0504690511714945
2015-08-21,0.013205875642597675,0.017541024833917618,1,2015,0.0043351491913199425,1.3282742703813006
2018-11-19,0.013009633868932724,0.015748405829072,1,2018,0.0027387719601392746,1.2105187576938286
2018-12-21,0.015209686011075974,0.018188942223787308,1,2018,0.0029792562127113342,1.1958788768250563
2019-07-31,0.015053299255669117,0.018301527947187424,1,2019,0.0032482286915183067,1.2157818453183953
2020-02-27,0.01271421555429697,0.017016105353832245,1,2020,0.0043018897995352745,1.338352750208123
2020-03-05,0.012494913302361965,0.020593872293829918,1,2020,0.008098958991467953,1.6481804871696848
2020-03-06,0.015460832975804806,0.06714586168527603,1,2020,0.051685028709471226,4.342965336366735
2020-03-10,0.01779889315366745,0.023804232478141785,1,2020,0.006005339324474335,1.3373995940436858
2020-03-11,0.015149451792240143,0.03649555891752243,1,2020,0.021346107125282288,2.409034955061291
2020-03-13,0.016083739697933197,0.04488958418369293,1,2020,0.028805844485759735,2.7909917113033957
2020-03-17,0.017025697976350784,0.07843015342950821,1,2020,0.061404455453157425,4.606574927997084
2020-03-19,0.01584312878549099,0.032181136310100555,1,2020,0.016338007524609566,2.031236174736633
2020-04-06,0.021631639450788498,0.022461429238319397,1,2020,0.000829789787530899,1.0383600045395844
2020-04-16,0.015982232987880707,0.016544293612241745,1,2020,0.0005620606243610382,1.0351678407383529
2020-04-24,0.024183398112654686,0.05499166622757912,1,2020,0.03080826811492443,2.273942891375678
2020-06-10,0.014441591687500477,0.025867754593491554,1,2020,0.011426162905991077,1.7911983078624691
2020-10-27,0.01744219660758972,0.022409971803426743,1,2020,0.004967775195837021,1.2848136222518765
2021-11-24,0.01680118963122368,0.03052397072315216,1,2021,0.013722781091928482,1.8167743709306026
2022-03-11,0.019210267812013626,0.019783567637205124,1,2022,0.0005732998251914978,1.0298434061826547
2022-05-06,0.018678002059459686,0.020313072949647903,1,2022,0.0016350708901882172,1.0875399245049402
2022-06-16,0.011084310710430145,0.013017769902944565,1,2022,0.0019334591925144196,1.174432063754318
2022-07-01,0.015063732862472534,0.021157069131731987,1,2022,0.006093336269259453,1.4045037392052706
2022-07-11,0.013741039671003819,0.02102663367986679,1,2022,0.007285594008862972,1.530206897243514
