Model,year,T,Expected Viol.,Violations,Violation Rate,VR Gap,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Max Loss,Mean Loss,n_negative_var,p_UC,UC Test,p_CC,CC Test,p_DQ,DQ Test
Softplus + conservative dynamic SiLU LayerNorm,2010,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.0002685602373255267,0.02559108257504096,0.025572857874933453,0.05940619483590126,0.011622587218880653,0.026196617633104324,-0.00038104320229750656,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468661,PASS
Softplus + conservative dynamic SiLU LayerNorm,2011,252,2.5200000000000022,4,0.015873015873015872,0.005873015873015863,0.0003656103268402093,0.02627618012875761,0.02606983675754496,0.05592181161046028,0.010348938405513763,0.026701759546995163,-0.00027719905145002284,0,0.3880381133603774,PASS,0.6457643430795947,PASS,0.008051175102123387,FAIL
Softplus + conservative dynamic SiLU LayerNorm,2012,249,2.490000000000002,0,0.0,0.010000000000000009,0.00026712604602678163,0.02659518450468659,0.02659518450468659,0.049269694834947586,0.0119401840493083,0.019406957551836967,-0.00011742009799154878,0,,FAIL,,FAIL,,FAIL
Softplus + conservative dynamic SiLU LayerNorm,2013,251,2.5100000000000025,0,0.0,0.010000000000000009,0.00027736322227066393,0.02780227816526396,0.02780227816526396,0.052171673625707626,0.01163879781961441,0.02981555461883545,6.595593819758825e-05,0,,FAIL,,FAIL,,FAIL
Softplus + conservative dynamic SiLU LayerNorm,2014,252,2.5200000000000022,0,0.0,0.010000000000000009,0.0002945011184965012,0.02988817035737965,0.02988817035737965,0.0499613992869854,0.013028249144554138,0.02523237094283104,0.0004380585077295484,0,,FAIL,,FAIL,,FAIL
Softplus + conservative dynamic SiLU LayerNorm,2015,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.00022130061604428442,0.02030777453863896,0.020260805068241936,0.039149943739175797,0.009949923492968082,0.019678598269820213,0.00045573224846636535,0,0.7679687153509303,PASS,0.9232885919371185,PASS,0.9985400783055429,PASS
Softplus + conservative dynamic SiLU LayerNorm,2016,250,2.500000000000002,0,0.0,0.010000000000000009,0.00022534801486996027,0.02212462330237031,0.02212462330237031,0.0468449667096138,0.009997700341045856,0.016854876652359962,-0.00041017818462569264,0,,FAIL,,FAIL,,FAIL
Softplus + conservative dynamic SiLU LayerNorm,2017,249,2.490000000000002,0,0.0,0.010000000000000009,0.0002873288244288224,0.02824695968633914,0.02824695968633914,0.05481138080358505,0.010913698934018612,0.014268964529037476,-0.0004859227565430777,0,,FAIL,,FAIL,,FAIL
Softplus + conservative dynamic SiLU LayerNorm,2018,250,2.500000000000002,2,0.008,0.0020000000000000087,0.0002767528417121869,0.025744991526233427,0.025698785237967967,0.04992687329649925,0.010907267220318317,0.018188942223787308,0.0003107123358895478,0,0.7419327009526262,PASS,0.9320096436669167,PASS,0.9993642217048704,PASS
Softplus + conservative dynamic SiLU LayerNorm,2019,251,2.5100000000000025,1,0.00398406374501992,0.006015936254980089,0.00024764043490451527,0.022885070578576507,0.022858926840868606,0.04725572466850281,0.01007841620594263,0.018301527947187424,-0.0006110016330417437,0,0.27561379392121055,PASS,0.5497388300990125,PASS,0.8228039726887613,PASS
Softplus + conservative dynamic SiLU LayerNorm,2020,251,2.5100000000000025,13,0.05179282868525897,0.04179282868525896,0.001202984980732018,0.023286795948381213,0.021302171311233624,0.04243878647685051,0.01061807107180357,0.07843015342950821,-0.0007574072231624862,0,2.417978508861829e-06,FAIL,5.492065841883331e-06,FAIL,2.2484031303449115e-09,FAIL
Softplus + conservative dynamic SiLU LayerNorm,2021,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.00031733699219388216,0.025975522741142894,0.025865511669378196,0.05151093378663063,0.012578359805047512,0.03052397072315216,-0.00042263949765742475,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468669,PASS
Softplus + conservative dynamic SiLU LayerNorm,2022,251,2.5100000000000025,5,0.0199203187250996,0.009920318725099592,0.0002919274951028165,0.022675000761981423,0.022533982932805067,0.052110373973846436,0.010796374641358852,0.02679738961160183,0.00032161596675314827,0,0.16403965089843964,PASS,0.34289152685166036,PASS,0.881324870792101,PASS
Softplus + conservative dynamic SiLU LayerNorm,2023,250,2.500000000000002,0,0.0,0.010000000000000009,0.00026303911318056655,0.02606466516852379,0.02606466516852379,0.06314221769571304,0.011784183792769909,0.01853187195956707,-0.00023924614953284618,0,,FAIL,,FAIL,,FAIL
Softplus + conservative dynamic SiLU LayerNorm,2024,250,2.500000000000002,0,0.0,0.010000000000000009,0.00027781839138111566,0.02745898249745369,0.02745898249745369,0.05253732576966286,0.010687611997127533,0.014374827034771442,-0.0003228566406578466,0,,FAIL,,FAIL,,FAIL
