Model,year,T,Expected Viol.,Violations,Violation Rate,VR Gap,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Max Loss,Mean Loss,n_negative_var,p_UC,UC Test,p_CC,CC Test,p_DQ,DQ Test
Softplus + SiLU LayerNorm + downside pressure,2010,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.00022615244049647466,0.01962792525573829,0.019574187614674134,0.04105498269200325,0.009591837413609028,0.026196617633104324,-0.00038104320229750656,0,0.7679687153509303,PASS,0.9232885919371185,PASS,0.9985400783055429,PASS
Softplus + SiLU LayerNorm + downside pressure,2011,252,2.5200000000000022,5,0.01984126984126984,0.009841269841269831,0.0002839633855779858,0.019740736768269637,0.019567986196350484,0.04737972840666771,0.009958960115909576,0.026701759546995163,-0.00027719905145002284,0,0.1662402395452115,PASS,0.3464919971868956,PASS,0.06915261186787769,PASS
Softplus + SiLU LayerNorm + downside pressure,2012,249,2.490000000000002,1,0.004016064257028112,0.005983935742971897,0.0002050265211147349,0.020139746478892155,0.020134684921477932,0.05010269954800606,0.01005822978913784,0.019406957551836967,-0.00011742009799154878,0,0.2805502140396249,PASS,0.5564044056020698,PASS,0.8311757302695197,PASS
Softplus + SiLU LayerNorm + downside pressure,2013,251,2.5100000000000025,2,0.00796812749003984,0.0020318725099601684,0.00027157484806082064,0.021321971723334224,0.021200291949706487,0.038287095725536346,0.010169386863708496,0.02981555461883545,6.595593819758825e-05,0,0.7373114985717543,PASS,0.9301763702882031,PASS,0.9993244432692044,PASS
Softplus + SiLU LayerNorm + downside pressure,2014,252,2.5200000000000022,0,0.0,0.010000000000000009,0.00020324609627624674,0.020762668135354205,0.020762668135354205,0.04218554496765137,0.00991824921220541,0.02523237094283104,0.0004380585077295484,0,,FAIL,,FAIL,,FAIL
Softplus + SiLU LayerNorm + downside pressure,2015,252,2.5200000000000022,5,0.01984126984126984,0.009841269841269831,0.00027845607549460574,0.02108541446677395,0.020936632501183168,0.046359315514564514,0.007710879202932119,0.019678598269820213,0.00045573224846636535,0,0.1662402395452115,PASS,0.3464919971868956,PASS,0.8829277531497639,PASS
Softplus + SiLU LayerNorm + downside pressure,2016,250,2.500000000000002,2,0.008,0.0020000000000000087,0.00021987481940654124,0.019538862770968914,0.019496833059936762,0.03830059990286827,0.008407283574342728,0.016854876652359962,-0.00041017818462569264,0,0.7419327009526262,PASS,0.9320096436669167,PASS,0.8257856618414916,PASS
Softplus + SiLU LayerNorm + downside pressure,2017,249,2.490000000000002,0,0.0,0.010000000000000009,0.00018663640302895754,0.01817771754635266,0.01817771754635266,0.04293234273791313,0.009542303159832954,0.014268964529037476,-0.0004859227565430777,0,,FAIL,,FAIL,,FAIL
Softplus + SiLU LayerNorm + downside pressure,2018,250,2.500000000000002,2,0.008,0.0020000000000000087,0.00023282748946661759,0.019289638213512268,0.019200899593532085,0.04324497655034065,0.010171104222536087,0.018188942223787308,0.0003107123358895478,0,0.7419327009526262,PASS,0.9320096436669167,PASS,0.9993642217048704,PASS
Softplus + SiLU LayerNorm + downside pressure,2019,251,2.5100000000000025,1,0.00398406374501992,0.006015936254980089,0.00020793804754114364,0.01992924005780971,0.01992401195341254,0.05132155865430832,0.008237414993345737,0.018301527947187424,-0.0006110016330417437,0,0.27561379392121055,PASS,0.5497388300990125,PASS,0.8228039726887613,PASS
Softplus + SiLU LayerNorm + downside pressure,2020,251,2.5100000000000025,13,0.05179282868525897,0.04179282868525896,0.0011093800681587762,0.021481671153448432,0.01965282726810273,0.04007888585329056,0.009564314037561417,0.07843015342950821,-0.0007574072231624862,0,2.417978508861829e-06,FAIL,5.492065841883331e-06,FAIL,5.544581551775174e-06,FAIL
Softplus + SiLU LayerNorm + downside pressure,2021,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.00027186981645100467,0.019706729889251692,0.019561212110732282,0.04373874515295029,0.010721461847424507,0.03052397072315216,-0.00042263949765742475,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468669,PASS
Softplus + SiLU LayerNorm + downside pressure,2022,251,2.5100000000000025,3,0.01195219123505976,0.0019521912350597519,0.0002860377925887056,0.02157324756168423,0.02142165688820094,0.04971357807517052,0.010206651873886585,0.02679738961160183,0.00032161596675314827,0,0.7629803606411374,PASS,0.9213547061244108,PASS,0.9984789390534786,PASS
Softplus + SiLU LayerNorm + downside pressure,2023,250,2.500000000000002,1,0.004,0.006000000000000009,0.00022767742977463076,0.020446955171084465,0.02040403678640723,0.03966810181736946,0.009891141206026077,0.01853187195956707,-0.00023924614953284618,0,0.2780714900139559,PASS,0.5530660547114741,PASS,0.8270161764816052,PASS
Softplus + SiLU LayerNorm + downside pressure,2024,250,2.500000000000002,0,0.0,0.010000000000000009,0.00019778034055820189,0.019455177415162325,0.019455177415162325,0.05229432135820389,0.008963675238192081,0.014374827034771442,-0.0003228566406578466,0,,FAIL,,FAIL,,FAIL
