Model,year,T,Expected Viol.,Violations,Violation Rate,VR Gap,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Max Loss,Mean Loss,n_negative_var,p_UC,UC Test,p_CC,CC Test,p_DQ,DQ Test
Softplus + dynamic SiLU LayerNorm + rolling winsor,2010,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.00027857914821298555,0.020002628496398736,0.01984852039077807,0.04471542686223984,0.008340430445969105,0.026196617633104324,-0.00038104320229750656,0,0.7679687153509303,PASS,0.9232885919371185,PASS,0.9985400783055429,PASS
Softplus + dynamic SiLU LayerNorm + rolling winsor,2011,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.0002391734025296604,0.022415184337184067,0.02238992749462052,0.04748661443591118,0.008458608761429787,0.026701759546995163,-0.00027719905145002284,0,0.7679687153509303,PASS,0.9232885919371185,PASS,0.9985400783055429,PASS
Softplus + dynamic SiLU LayerNorm + rolling winsor,2012,249,2.490000000000002,4,0.01606425702811245,0.0060642570281124394,0.0002583662014947471,0.019603211349540912,0.019477108489707053,0.04297393932938576,0.008736122399568558,0.019406957551836967,-0.00011742009799154878,0,0.37672501519974744,PASS,0.6336506230413519,PASS,0.008719130997437818,FAIL
Softplus + dynamic SiLU LayerNorm + rolling winsor,2013,251,2.5100000000000025,2,0.00796812749003984,0.0020318725099601684,0.00030162058989590285,0.0207472446364963,0.020551764836675854,0.05060494691133499,0.008492873050272465,0.02981555461883545,6.595593819758825e-05,0,0.7373114985717543,PASS,0.9301763702882031,PASS,0.9993244432692044,PASS
Softplus + dynamic SiLU LayerNorm + rolling winsor,2014,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.00018075473710956404,0.018083532388197075,0.018074666412310706,0.051542699337005615,0.006598790641874075,0.02523237094283104,0.0004380585077295484,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468667,PASS
Softplus + dynamic SiLU LayerNorm + rolling winsor,2015,252,2.5200000000000022,2,0.007936507936507936,0.002063492063492073,0.00029880997235212593,0.02748886885354258,0.02743015007766348,0.059710435569286346,0.00978210661560297,0.019678598269820213,0.00045573224846636535,0,0.7327118118255211,PASS,0.9283165087166464,PASS,0.9992822801223935,PASS
Softplus + dynamic SiLU LayerNorm + rolling winsor,2016,250,2.500000000000002,4,0.016,0.0059999999999999915,0.0002774236737948379,0.02597456493650121,0.025946572683751584,0.06507384777069092,0.00917152687907219,0.016854876652359962,-0.00041017818462569264,0,0.3804837382389562,PASS,0.6377058154833053,PASS,0.971185610248074,PASS
Softplus + dynamic SiLU LayerNorm + rolling winsor,2017,249,2.490000000000002,1,0.004016064257028112,0.005983935742971897,0.00020387587377444303,0.01907449079837878,0.01905743566801749,0.039409857243299484,0.008475832641124725,0.014268964529037476,-0.0004859227565430777,0,0.2805502140396249,PASS,0.5564044056020698,PASS,0.8311757302695197,PASS
Softplus + dynamic SiLU LayerNorm + rolling winsor,2018,250,2.500000000000002,4,0.016,0.0059999999999999915,0.0002817193994459014,0.02074714257662194,0.020587647531181575,0.048989493399858475,0.00862638559192419,0.018188942223787308,0.0003107123358895478,0,0.3804837382389562,PASS,0.6377058154833053,PASS,0.0044723901368793895,FAIL
Softplus + dynamic SiLU LayerNorm + rolling winsor,2019,251,2.5100000000000025,1,0.00398406374501992,0.006015936254980089,0.0002691541874473373,0.025440999155322094,0.025423196723231994,0.07084328681230545,0.00874197669327259,0.018301527947187424,-0.0006110016330417437,0,0.27561379392121055,PASS,0.5497388300990125,PASS,0.8228039726887613,PASS
Softplus + dynamic SiLU LayerNorm + rolling winsor,2020,251,2.5100000000000025,8,0.03187250996015936,0.021872509960159353,0.0009692122458914655,0.028737938366918802,0.027347714057659723,0.06794527173042297,0.00852869264781475,0.07843015342950821,-0.0007574072231624862,0,0.005556650359113902,FAIL,0.010694649675272005,FAIL,0.09923955049284183,PASS
Softplus + dynamic SiLU LayerNorm + rolling winsor,2021,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.00026914085164279986,0.021389399199431926,0.021284202365056862,0.050021495670080185,0.007973605766892433,0.03052397072315216,-0.00042263949765742475,0,0.7679687153509303,PASS,0.9232885919371185,PASS,1.9986979457042864e-06,FAIL
Softplus + dynamic SiLU LayerNorm + rolling winsor,2022,251,2.5100000000000025,4,0.01593625498007968,0.005936254980079672,0.0003043602492984197,0.02466606592589409,0.02454046644196211,0.05134037882089615,0.009218110702931881,0.02679738961160183,0.00032161596675314827,0,0.3842548237900836,PASS,0.6417438220271555,PASS,0.9718308380262235,PASS
Softplus + dynamic SiLU LayerNorm + rolling winsor,2023,250,2.500000000000002,1,0.004,0.006000000000000009,0.0002147268248068578,0.020894329751681803,0.020887337863445283,0.04345851391553879,0.007338862866163254,0.01853187195956707,-0.00023924614953284618,0,0.2780714900139559,PASS,0.5530660547114741,PASS,0.8270161764816054,PASS
Softplus + dynamic SiLU LayerNorm + rolling winsor,2024,250,2.500000000000002,0,0.0,0.010000000000000009,0.0002025045634082564,0.019927599700167775,0.019927599700167775,0.04292897507548332,0.0077032349072396755,0.014374827034771442,-0.0003228566406578466,0,,FAIL,,FAIL,,FAIL
