,VaR_pred,loss_real,viol,year,exceedance,exceedance_ratio
2010-02-03,0.02063126489520073,0.026196617633104324,1,2010,0.005565352737903595,1.2697533460102204
2011-05-04,0.02017751894891262,0.023495325818657875,1,2011,0.0033178068697452545,1.164430863781895
2011-09-21,0.020822297781705856,0.026701759546995163,1,2011,0.005879461765289307,1.2823637346333079
2011-12-13,0.02033093012869358,0.023732837289571762,1,2011,0.0034019071608781815,1.1673266859580114
2013-04-12,0.020653316751122475,0.02981555461883545,1,2013,0.009162237867712975,1.4436206531919393
2013-06-19,0.019732825458049774,0.026507526636123657,1,2013,0.006774701178073883,1.343321395736069
2014-11-26,0.02246817573904991,0.02523237094283104,1,2014,0.002764195203781128,1.1230271311692177
2020-03-05,0.0187563207000494,0.020593872293829918,1,2020,0.0018375515937805176,1.0979697256816299
2020-03-06,0.02183697745203972,0.06714586168527603,1,2020,0.04530888423323631,3.074869763123017
2020-03-13,0.03646581247448921,0.04488958418369293,1,2020,0.00842377170920372,1.2310046352346278
2020-03-17,0.04192342609167099,0.07843015342950821,1,2020,0.03650672733783722,1.870795417769782
2020-04-24,0.023051932454109192,0.05499166622757912,1,2020,0.031939733773469925,2.3855555857216824
2020-06-10,0.018377577885985374,0.025867754593491554,1,2020,0.00749017670750618,1.4075714848809397
2020-10-27,0.02070527896285057,0.022409971803426743,1,2020,0.0017046928405761719,1.0823313148127458
2021-11-24,0.021066080778837204,0.03052397072315216,1,2021,0.009457889944314957,1.448962958207977
2022-03-08,0.021173415705561638,0.02679738961160183,1,2022,0.005623973906040192,1.265614862724437
2022-05-06,0.019827770069241524,0.020313072949647903,1,2022,0.0004853028804063797,1.0244759183060743
