year,T,Expected Viol.,Violations,Violation Rate,VR Gap,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Max Loss,Mean Loss,n_negative_var,p_UC,UC Test,p_CC,CC Test,p_DQ,DQ Test
2010,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.0002319202514383998,0.02064712425524837,0.020602508632850552,0.023668114095926285,0.01777276024222374,0.026196617633104324,-0.00038104320229750656,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468661,PASS
2011,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.00026125159625381574,0.02094929113267959,0.020848287639045525,0.02733956277370453,0.01895117200911045,0.026701759546995163,-0.00027719905145002284,0,0.7679687153509303,PASS,0.9232885919371185,PASS,0.9985400783055429,PASS
2012,249,2.490000000000002,0,0.0,0.010000000000000009,0.0002069757530442435,0.020580155206432783,0.020580155206432783,0.027677316218614578,0.01837705262005329,0.019406957551836967,-0.00011742009799154878,0,,FAIL,,FAIL,,FAIL
2013,251,2.5100000000000025,2,0.00796812749003984,0.0020318725099601684,0.00027064949793543136,0.020909797890615003,0.020781527625849523,0.02874017134308815,0.017460690811276436,0.02981555461883545,6.595593819758825e-05,0,0.7373114985717543,PASS,0.9301763702882031,PASS,0.9993244432692044,PASS
2014,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.000215256712445277,0.02088898654732389,0.020866826893613924,0.0280656348913908,0.018312234431505203,0.02523237094283104,0.0004380585077295484,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468667,PASS
2015,252,2.5200000000000022,0,0.0,0.010000000000000009,0.00021301846879244617,0.021757579127710962,0.021757579127710962,0.03094262257218361,0.016249582171440125,0.019678598269820213,0.00045573224846636535,0,,FAIL,,FAIL,,FAIL
2016,250,2.500000000000002,0,0.0,0.010000000000000009,0.00021715564668294994,0.02130538648366928,0.02130538648366928,0.03666374459862709,0.015780502930283546,0.016854876652359962,-0.00041017818462569264,0,,FAIL,,FAIL,,FAIL
2017,249,2.490000000000002,0,0.0,0.010000000000000009,0.00020816905951922174,0.020330983195379078,0.020330983195379078,0.024090679362416267,0.017561132088303566,0.014268964529037476,-0.0004859227565430777,0,,FAIL,,FAIL,,FAIL
2018,250,2.500000000000002,0,0.0,0.010000000000000009,0.00020557249465699007,0.020867961801588536,0.020867961801588536,0.030921222642064095,0.0180139672011137,0.018188942223787308,0.0003107123358895478,0,,FAIL,,FAIL,,FAIL
2019,251,2.5100000000000025,0,0.0,0.010000000000000009,0.0002144834496062412,0.02083734332758236,0.02083734332758236,0.03711293637752533,0.0154733182862401,0.018301527947187424,-0.0006110016330417437,0,,FAIL,,FAIL,,FAIL
2020,251,2.5100000000000025,7,0.027888446215139442,0.017888446215139433,0.000767693002917549,0.024011735295747703,0.022939567094245755,0.07511703670024872,0.013100828975439072,0.07843015342950821,-0.0007574072231624862,0,0.01945211442151429,FAIL,0.02583057172262071,FAIL,0.06306304250934236,PASS
2021,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,0.0002487331684119817,0.020773367240131426,0.02069754641325701,0.02677498757839203,0.01778635010123253,0.03052397072315216,-0.00042263949765742475,0,0.2731769603493013,PASS,0.5464228430806984,PASS,0.8185396561468669,PASS
2022,251,2.5100000000000025,2,0.00796812749003984,0.0020318725099601684,0.0002343459901846268,0.021371411378288695,0.02132224016989845,0.027225086465477943,0.017636321485042572,0.02679738961160183,0.00032161596675314827,0,0.7373114985717543,PASS,0.9301763702882031,PASS,0.9993244432692044,PASS
2023,250,2.500000000000002,0,0.0,0.010000000000000009,0.00020886623819344114,0.02064737766981125,0.02064737766981125,0.024673789739608765,0.017889171838760376,0.01853187195956707,-0.00023924614953284618,0,,FAIL,,FAIL,,FAIL
2024,250,2.500000000000002,0,0.0,0.010000000000000009,0.00020965901596686325,0.02064304495602846,0.02064304495602846,0.024312473833560944,0.017975326627492905,0.014374827034771442,-0.0003228566406578466,0,,FAIL,,FAIL,,FAIL
