Model,From,To,T,Expected Viol.,Violations,Violation Rate,VR Gap,Coverage Bias,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Mean VaR 2020,Max VaR 2020,n_negative_var,p_UC,p_CC,p_DQ,UC Test,CC Test,DQ Test,Valid(CC&DQ),year
CAViaR-AS,2015-01-02,2015-12-31,252,2.5200000000000022,7,0.027777777777777776,0.017777777777777767,0.017777777777777767,0.00026146999151247115,0.016785151899141707,0.016582727578463248,0.0353057123428009,0.0073011507598673,,,0,0.019861211712255855,0.05431942463035677,0.5588505219773453,FAIL,PASS,PASS,YES,2015
CAViaR-AS,2016-01-04,2016-12-30,250,2.500000000000002,1,0.004,0.006000000000000009,-0.006000000000000009,0.00015864401173996135,0.015218051107663402,0.015213181585514605,0.0331812403895133,0.0105369018040725,,,0,0.2780714900139559,0.5530660547114781,0.8270161764816057,PASS,PASS,PASS,YES,2016
CAViaR-AS,2017-01-03,2017-12-29,249,2.490000000000002,1,0.004016064257028112,0.005983935742971897,-0.005983935742971897,0.0001498089577055151,0.014478224572913994,0.014477879250462164,0.018788793244195,0.0114764629129613,,,0,0.2805502140396249,0.5564044056020742,0.8311757302695197,PASS,PASS,PASS,YES,2017
CAViaR-AS,2018-01-02,2018-12-31,250,2.500000000000002,3,0.012,0.0019999999999999914,0.0019999999999999914,0.0001763920236704671,0.01475590537876869,0.014690049506183583,0.0267230328238053,0.0110648026714167,,,0,0.7579883213732929,0.9193794622445018,2.269410308453068e-06,PASS,PASS,FAIL,NO,2018
CAViaR-AS,2019-01-02,2019-12-31,251,2.5100000000000025,3,0.01195219123505976,0.0019521912350597519,0.0019521912350597519,0.00017948342605922352,0.013767169534260758,0.013693557760177251,0.0203809506798565,0.009776292323209,,,0,0.7629803606411374,0.9213547061244108,0.9984789390534786,PASS,PASS,PASS,YES,2019
CAViaR-AS,2020-01-02,2020-12-31,251,2.5100000000000025,7,0.027888446215139442,0.017888446215139433,0.017888446215139433,0.000806776490560405,0.028564981558883346,0.0275061101966578,0.1996858883172695,0.0114698593309619,0.0275061101966578,0.1996858883172695,0,0.01945211442151429,0.02583057172262071,0.04809486245806105,FAIL,FAIL,FAIL,NO,2020
CAViaR-AS,2021-01-04,2021-12-31,252,2.5200000000000022,3,0.011904761904761904,0.0019047619047618952,0.0019047619047618952,0.0002521658824288201,0.01845257988839917,0.01832183001372972,0.0408046065716523,0.0109168366714179,,,0,0.7679687153509303,0.9232885919371185,0.9985400783055429,PASS,PASS,PASS,YES,2021
CAViaR-AS,2022-01-03,2022-12-30,251,2.5100000000000025,1,0.00398406374501992,0.006015936254980089,-0.006015936254980089,0.0002662502757837914,0.026209668238850996,0.026194472873872825,0.0471468337522114,0.0144560657728573,,,0,0.27561379392121055,0.5497388300990171,0.8228039726887615,PASS,PASS,PASS,YES,2022
CAViaR-AS,2023-01-03,2023-12-29,250,2.500000000000002,0,0.0,0.010000000000000009,-0.010000000000000009,0.0001959781227373204,0.019358566275961286,0.019358566275961286,0.0362167954298541,0.009991726597896,,,0,,,,FAIL,FAIL,FAIL,NO,2023
CAViaR-AS,2024-01-02,2024-12-27,250,2.500000000000002,1,0.004,0.006000000000000009,-0.006000000000000009,0.000171679168467681,0.016359011065654995,0.016348989433834227,0.0206187583606681,0.0122151746468636,,,0,0.2780714900139559,0.5530660547114781,0.8270161764816054,PASS,PASS,PASS,YES,2024
