Model,From,To,T,Expected Viol.,Violations,Violation Rate,VR Gap,Coverage Bias,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Mean VaR 2020,Max VaR 2020,n_negative_var,p_UC,p_CC,p_DQ,UC Test,CC Test,DQ Test,Valid(CC&DQ),year
GARCH-t,2015-01-02,2015-12-31,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,-0.006031746031746041,0.0002184017925778176,0.021863559005381707,0.02185464451974872,0.0303713714479618,0.0159929686954554,,,0,0.2731769603493013,0.5464228430807027,0.8185396561468666,PASS,PASS,PASS,YES,2015
GARCH-t,2016-01-04,2016-12-30,250,2.500000000000002,1,0.004,0.006000000000000009,-0.006000000000000009,0.00022768940288676054,0.020495107878802935,0.02045668201967392,0.0340628796357312,0.01202689135441,,,0,0.2780714900139559,0.5530660547114781,0.8270161764816057,PASS,PASS,PASS,YES,2016
GARCH-t,2017-01-03,2017-12-29,249,2.490000000000002,2,0.008032128514056224,0.0019678714859437847,-0.0019678714859437847,0.00014915863150292573,0.011488876072651333,0.011428235577415919,0.0142713680244445,0.0088103952633223,,,0,0.7465754233039801,0.9338159105952155,0.9994017254093572,PASS,PASS,PASS,YES,2017
GARCH-t,2018-01-02,2018-12-31,250,2.500000000000002,6,0.024,0.013999999999999992,0.013999999999999992,0.0001833526780717835,0.013439219000001203,0.01333186308991302,0.0294944984918654,0.0090903388581215,,,0,0.05935361897228941,0.14575318656547231,0.7287451189010139,PASS,PASS,PASS,YES,2018
GARCH-t,2019-01-02,2019-12-31,251,2.5100000000000025,2,0.00796812749003984,0.0020318725099601684,-0.0020318725099601684,0.00020161751958368417,0.014829364459159913,0.014732016305126985,0.0261082112253847,0.0095242596232153,,,0,0.7373114985717543,0.9301763702882031,0.9993244432692044,PASS,PASS,PASS,YES,2019
GARCH-t,2020-01-02,2020-12-31,251,2.5100000000000025,3,0.01195219123505976,0.0019521912350597519,0.0019521912350597519,0.0005200558954029729,0.034013200944759715,0.033657840487722204,0.1134502062017333,0.0116376821374566,0.033657840487722204,0.1134502062017333,0,0.7629803606411374,0.9213547061244108,0.9984789390534786,PASS,PASS,PASS,YES,2020
GARCH-t,2021-01-04,2021-12-31,252,2.5200000000000022,2,0.007936507936507936,0.002063492063492073,-0.002063492063492073,0.00025135814273718695,0.020271319068201732,0.02017973441309858,0.0425961160253102,0.0145648814629553,,,0,0.7327118118255211,0.9283165087166463,0.9992822801223935,PASS,PASS,PASS,YES,2021
GARCH-t,2022-01-03,2022-12-30,251,2.5100000000000025,0,0.0,0.010000000000000009,-0.010000000000000009,0.0002782596142524293,0.028147577287156094,0.028147577287156094,0.0463708842113412,0.0185429862577933,,,0,,,,FAIL,FAIL,FAIL,NO,2022
GARCH-t,2023-01-03,2023-12-29,250,2.500000000000002,0,0.0,0.010000000000000009,-0.010000000000000009,0.0001879155704920488,0.01855231105143413,0.01855231105143413,0.0299753026845109,0.0130135668064706,,,0,,,,FAIL,FAIL,FAIL,NO,2023
GARCH-t,2024-01-02,2024-12-27,250,2.500000000000002,1,0.004,0.006000000000000009,-0.006000000000000009,0.00015530162323074587,0.014464741845148532,0.01444943125050688,0.0178467082902873,0.0110318360545456,,,0,0.2780714900139559,0.5530660547114781,0.8270161764816054,PASS,PASS,PASS,YES,2024
