Model,From,To,T,Expected Viol.,Violations,Violation Rate,VR Gap,Coverage Bias,Tick Loss,Winkler Score,Mean VaR Level,Max VaR Level,Min VaR Level,Mean VaR 2020,Max VaR 2020,n_negative_var,p_UC,p_CC,p_DQ,UC Test,CC Test,DQ Test,Valid(CC&DQ),year
Historical Simulation,2015-01-02,2015-12-31,252,2.5200000000000022,6,0.023809523809523808,0.0138095238095238,0.0138095238095238,0.00018712241407513872,0.015003877287374212,0.014918019629210515,0.0159738055445955,0.0139834075978378,,,0,0.0614141787085829,0.15011677248200694,0.7334814678782319,PASS,PASS,PASS,YES,2015
Historical Simulation,2016-01-04,2016-12-30,250,2.500000000000002,1,0.004,0.006000000000000009,-0.006000000000000009,0.00016035961380252113,0.014500369568282444,0.014477165164780306,0.0148157830880921,0.0139834075978378,,,0,0.2780714900139559,0.5530660547114781,0.8270161764816057,PASS,PASS,PASS,YES,2016
Historical Simulation,2017-01-03,2017-12-29,249,2.490000000000002,1,0.004016064257028112,0.005983935742971897,-0.005983935742971897,0.0001479761289550895,0.014199286662627975,0.014196969071408235,0.0144611261229321,0.0139834075978378,,,0,0.2805502140396249,0.5564044056020742,0.8311757302695197,PASS,PASS,PASS,YES,2017
Historical Simulation,2018-01-02,2018-12-31,250,2.500000000000002,5,0.02,0.009999999999999992,0.009999999999999992,0.00018795448565824314,0.014292021405007432,0.014192760786596783,0.0142843969596711,0.013827826462578,,,0,0.16185491719604306,0.33929983877007763,0.05374718304250092,PASS,PASS,PASS,YES,2018
Historical Simulation,2019-01-02,2019-12-31,251,2.5100000000000025,2,0.00796812749003984,0.0020318725099601684,-0.0020318725099601684,0.00017280935319284436,0.013998640507118363,0.01394356230539559,0.0142843969596711,0.013827826462578,,,0,0.7373114985717543,0.9301763702882031,0.9993244432692044,PASS,PASS,PASS,YES,2019
Historical Simulation,2020-01-02,2020-12-31,251,2.5100000000000025,14,0.055776892430278883,0.045776892430278875,0.045776892430278875,0.001180753384818694,0.02103500432975534,0.01904978932515955,0.0224104367380604,0.0138319852856291,0.01904978932515955,0.0224104367380604,0,4.0186388627905245e-07,2.887177785737549e-07,3.1976887804319176e-10,FAIL,FAIL,FAIL,NO,2020
Historical Simulation,2021-01-04,2021-12-31,252,2.5200000000000022,1,0.003968253968253968,0.006031746031746041,-0.006031746031746041,0.0002605917174584656,0.022481885322108944,0.02241684105425898,0.0224749922453421,0.0224104367380604,,,0,0.2731769603493013,0.5464228430807027,0.8185396561468669,PASS,PASS,PASS,YES,2021
Historical Simulation,2022-01-03,2022-12-30,251,2.5100000000000025,1,0.00398406374501992,0.006015936254980089,-0.006015936254980089,0.0002498342889723867,0.023617734136689703,0.023582944226948215,0.0238249725724447,0.0224749922453421,,,0,0.27561379392121055,0.5497388300990171,0.8228039726887615,PASS,PASS,PASS,YES,2022
Historical Simulation,2023-01-03,2023-12-29,250,2.500000000000002,0,0.0,0.010000000000000009,-0.010000000000000009,0.00023059203004808243,0.02281995700703749,0.02281995700703749,0.0238249725724447,0.0185443318422009,,,0,,,,FAIL,FAIL,FAIL,NO,2023
Historical Simulation,2024-01-02,2024-12-27,250,2.500000000000002,0,0.0,0.010000000000000009,-0.010000000000000009,0.0001818474525146163,0.01786188861365568,0.01786188861365568,0.0185443318422009,0.0177059184035438,,,0,,,,FAIL,FAIL,FAIL,NO,2024
