,VaR_pred,loss_real,viol,year,exceedance,exceedance_ratio
2015-02-03,0.0118887806311249,0.0159654077142477,1,2015,0.0040766270831228,1.3428969891538047
2015-03-05,0.0126056652516126,0.0157888941466808,1,2015,0.0031832288950682,1.2525236734063663
2015-07-02,0.0122757693752646,0.0144576113671064,1,2015,0.0021818419918418,1.1777356616228196
2015-08-31,0.0113812033087015,0.0196785982698202,1,2015,0.0082973949611187,1.7290437343101432
2015-11-16,0.0077108792029321,0.0085308486595749,1,2015,0.0008199694566428002,1.1063392947889785
2016-01-05,0.0084072835743427,0.0117904720827937,1,2016,0.0033831885084510006,1.4024116087597898
2016-01-22,0.0120350448414683,0.0138530330732464,1,2016,0.0018179882317780997,1.1510578693910625
2018-11-21,0.0144084710627794,0.0174807682633399,1,2018,0.0030722972005604986,1.213228536683326
2018-12-21,0.0102798352017998,0.0181889422237873,1,2018,0.0079091070219875,1.7693807212593027
2019-09-16,0.0111020067706704,0.0117515726014971,1,2019,0.0006495658308267004,1.0585088663918618
2020-02-26,0.0146606285125017,0.0148406140506267,1,2020,0.00017998553812499998,1.012276795498332
2020-03-06,0.0193863529711961,0.067145861685276,1,2020,0.047759508714079905,3.46356335227364
2020-03-10,0.011826192960143,0.0238042324781417,1,2020,0.0119780395179987,2.0128398511987298
2020-03-11,0.0254030656069517,0.0364955589175224,1,2020,0.011092493310570703,1.4366596332190387
2020-03-13,0.0260584708303213,0.0448895841836929,1,2020,0.018831113353371596,1.7226484422662267
2020-03-17,0.0190666355192661,0.0784301534295082,1,2020,0.059363517910242095,4.1134763052588665
2020-03-19,0.0095643140375614,0.0321811363101005,1,2020,0.0226168222725391,3.3647092916143606
2020-04-24,0.0154208233579993,0.0549916662275791,1,2020,0.039570842869579806,3.566065504476003
2020-06-10,0.01747702434659,0.0258677545934915,1,2020,0.008390730246901498,1.4801006212787384
2020-08-10,0.0122157474979758,0.0139134703204035,1,2020,0.0016977228224276993,1.1389782182964259
2020-09-03,0.0102707184851169,0.0111506190150976,1,2020,0.0008799005299807011,1.085670786445539
2020-09-04,0.0199390966445207,0.0203041043132543,1,2020,0.00036500766873360027,1.0183061286697712
2020-10-27,0.0179109480232,0.0224099718034267,1,2020,0.0044990237802267005,1.251188478376417
2021-11-24,0.012372083030641,0.0305239707231521,1,2021,0.018151887692511103,2.4671650398365172
2022-03-08,0.0145194521173834,0.0267973896116018,1,2022,0.012277937494218398,1.8456198894391234
2022-05-06,0.0152187077328562,0.0203130729496479,1,2022,0.005094365216791699,1.3347436133354014
2022-06-16,0.0115556893870234,0.0130177699029445,1,2022,0.0014620805159211003,1.126524733138203
2023-02-02,0.0132207218557596,0.018531871959567,1,2023,0.005311150103807401,1.4017292067523228
